LOCUS,GS:LOCUS,GS:#Genot,GS:Obs.Het.,GS:Exp.Het. ,GS:P-value,GS:Sign,WD:LOCUS,WD:#Genot,WD:Obs.Het.,WD:Exp.Het. ,WD:P-value,WD:Sign,JS:LOCUS,JS:#Genot,JS:Obs.Het.,JS:Exp.Het. ,JS:P-value,JS:Sign,PD:LOCUS,PD:#Genot,PD:Obs.Het.,PD:Exp.Het. ,PD:P-value,PD:Sign,GD:LOCUS,GD:#Genot,GD:Obs.Het.,GD:Exp.Het. ,GD:P-value,GD:Sign,JD:LOCUS,JD:#Genot,JD:Obs.Het.,JD:Exp.Het. ,JD:P-value,JD:Sign,PS:LOCUS,PS:#Genot,PS:Obs.Het.,PS:Exp.Het. ,PS:P-value,PS:Sign
47:72 [11],GS11,,,,,m,WD11,,,,,m,JS11,,,,,m,PD11,17,0.05882,0.05882,1.00000,,GD11,,,,,m,JD11,,,,,m,PS11,12,0.08333,0.22826,0.12969,
47:73 [12],GS12,,,,,m,WD12,,,,,m,JS12,,,,,m,PD12,17,0.05882,0.05882,1.00000,,GD12,,,,,m,JD12,,,,,m,PS12,12,0.08333,0.22826,0.13009,
49:17 [13],GS13,,,,,m,WD13,12,0.08333,0.08333,1.00000,,JS13,,,,,m,PD13,14,0.07143,0.07143,1.00000,,GD13,,,,,m,JD13,,,,,m,PS13,,,,,m
49:63 [14],GS14,,,,,m,WD14,12,0.08333,0.08333,1.00000,,JS14,,,,,m,PD14,14,0.07143,0.07143,1.00000,,GD14,,,,,m,JD14,,,,,m,PS14,,,,,m
55:37 [15],GS15,,,,,m,WD15,,,,,m,JS15,10,0.00000,0.33684,0.00896,Sd,PD15,,,,,m,GD15,,,,,m,JD15,,,,,m,PS15,,,,,m
56:7 [16],GS16,14,0.07143,0.51587,0.00134,Sd,WD16,14,0.14286,0.13757,1.00000,,JS16,7,0.14286,0.36264,0.23163,,PD16,15,0.13333,0.33103,0.05637,,GD16,11,0.00000,0.31169,0.00755,Sd,JD16,12,0.08333,0.22826,0.13087,,PS16,11,0.45455,0.50649,1.00000,
63:22 [17],GS17,,,,,m,WD17,13,0.07692,0.07692,1.00000,,JS17,14,0.07143,0.07143,1.00000,,PD17,16,0.06250,0.06250,1.00000,,GD17,,,,,m,JD17,,,,,m,PS17,11,0.18182,0.31169,0.27871,
75:19 [18],GS18,,,,,m,WD18,14,0.14286,0.25397,0.21721,,JS18,,,,,m,PD18,17,0.00000,0.21390,0.00297,Sd,GD18,13,0.00000,0.27077,0.00525,Sd,JD18,,,,,m,PS18,,,,,m
75:41 [19],GS19,,,,,m,WD19,14,0.14286,0.25397,0.21768,,JS19,,,,,m,PD19,17,0.00000,0.21390,0.00282,Sd,GD19,13,0.00000,0.27077,0.00507,Sd,JD19,,,,,m,PS19,,,,,m
75:46 [20],GS20,,,,,m,WD20,14,0.14286,0.25397,0.21753,,JS20,,,,,m,PD20,17,0.00000,0.21390,0.00300,Sd,GD20,13,0.00000,0.27077,0.00526,Sd,JD20,,,,,m,PS20,,,,,m
75:49 [21],GS21,15,0.00000,0.23908,0.00396,Sd,WD21,14,0.14286,0.34921,0.06494,,JS21,14,0.00000,0.13757,0.03686,Sd,PD21,17,0.05882,0.33690,0.00344,Sd,GD21,13,0.00000,0.27077,0.00520,Sd,JD21,11,0.27273,0.50649,0.21493,,PS21,12,0.08333,0.08333,1.00000,
77:32 [22],GS22,14,0.21429,0.19841,1.00000,,WD22,12,0.00000,0.15942,0.04305,Sd,JS22,7,0.00000,0.26374,0.07605,,PD22,14,0.07143,0.19841,0.11104,,GD22,9,0.11111,0.29412,0.17740,,JD22,9,0.00000,0.20915,0.05862,,PS22,,,,,m
77:38 [23],GS23,14,0.21429,0.19841,1.00000,,WD23,13,0.07692,0.07692,1.00000,,JS23,12,0.08333,0.08333,1.00000,,PD23,17,0.11765,0.11408,1.00000,,GD23,12,0.16667,0.15942,1.00000,,JD23,12,0.08333,0.08333,1.00000,,PS23,,,,,m
77:43 [24],GS24,14,0.21429,0.19841,1.00000,,WD24,12,0.08333,0.08333,1.00000,,JS24,7,0.14286,0.14286,1.00000,,PD24,14,0.14286,0.13757,1.00000,,GD24,9,0.22222,0.20915,1.00000,,JD24,9,0.11111,0.11111,1.00000,,PS24,,,,,m
91:15 [25],GS25,12,0.00000,0.46377,0.00073,Sd,WD25,,,,,m,JS25,10,0.00000,0.44211,0.00310,Sd,PD25,,,,,m,GD25,12,0.00000,0.28986,0.00637,Sd,JD25,10,0.10000,0.10000,1.00000,,PS25,10,0.20000,0.52632,0.07525,
91:34 [26],GS26,12,0.00000,0.46377,0.00062,Sd,WD26,,,,,m,JS26,10,0.00000,0.44211,0.00305,Sd,PD26,,,,,m,GD26,12,0.00000,0.28986,0.00600,Sd,JD26,10,0.10000,0.10000,1.00000,,PS26,10,0.20000,0.52632,0.07497,
91:38 [27],GS27,12,0.00000,0.46377,0.00061,Sd,WD27,,,,,m,JS27,10,0.00000,0.44211,0.00320,Sd,PD27,,,,,m,GD27,12,0.00000,0.28986,0.00646,Sd,JD27,10,0.10000,0.10000,1.00000,,PS27,10,0.20000,0.52632,0.07487,
91:58 [28],GS28,12,0.00000,0.46377,0.00073,Sd,WD28,,,,,m,JS28,10,0.00000,0.44211,0.00313,Sd,PD28,,,,,m,GD28,12,0.00000,0.28986,0.00627,Sd,JD28,10,0.10000,0.10000,1.00000,,PS28,10,0.20000,0.52632,0.07540,
95:60 [29],GS29,,,,,m,WD29,12,0.08333,0.08333,1.00000,,JS29,13,0.00000,0.14769,0.04008,Sd,PD29,,,,,m,GD29,,,,,m,JD29,,,,,m,PS29,,,,,m
98:33 [30],GS30,11,0.00000,0.41558,0.00227,Sd,WD30,12,0.08333,0.08333,1.00000,,JS30,11,0.00000,0.31169,0.00754,Sd,PD30,,,,,m,GD30,8,0.00000,0.23333,0.06646,,JD30,11,0.18182,0.31169,0.27788,,PS30,8,0.12500,0.12500,1.00000,
101:48 [31],GS31,15,0.00000,0.23908,0.00374,Sd,WD31,10,0.20000,0.33684,0.30693,,JS31,9,0.22222,0.36601,0.34080,,PD31,14,0.14286,0.25397,0.21784,,GD31,,,,,m,JD31,,,,,m,PS31,6,0.00000,0.30303,0.09180,
102:4 [32],GS32,,,,,m,WD32,12,0.08333,0.34420,0.03035,Sd,JS32,8,0.00000,0.23333,0.06728,,PD32,10,0.10000,0.26842,0.15690,,GD32,7,0.14286,0.36264,0.23105,,JD32,9,0.11111,0.50327,0.03183,Sd,PS32,8,0.12500,0.45833,0.07648,
103:73 [33],GS33,,,,,m,WD33,13,0.07692,0.07692,1.00000,,JS33,,,,,m,PD33,,,,,m,GD33,,,,,m,JD33,,,,,m,PS33,10,0.10000,0.10000,1.00000,
108:66 [34],GS34,14,0.00000,0.13757,0.03708,Sd,WD34,14,0.21429,0.30423,0.34955,,JS34,14,0.07143,0.07143,1.00000,,PD34,17,0.00000,0.11408,0.03025,Sd,GD34,,,,,m,JD34,11,0.09091,0.09091,1.00000,,PS34,12,0.08333,0.08333,1.00000,
112:28 [35],GS35,14,0.00000,0.25397,0.00445,Sd,WD35,14,0.14286,0.25397,0.21853,,JS35,12,0.00000,0.39130,0.00155,Sd,PD35,16,0.12500,0.38710,0.01711,Sd,GD35,,,,,m,JD35,12,0.08333,0.34420,0.03134,Sd,PS35,11,0.09091,0.36797,0.03796,Sd
117:70 [36],GS36,,,,,m,WD36,,,,,m,JS36,,,,,m,PD36,17,0.11765,0.21390,0.17933,,GD36,12,0.00000,0.15942,0.04364,Sd,JD36,12,0.08333,0.08333,1.00000,,PS36,,,,,m
153:60 [37],GS37,10,0.00000,0.18947,0.05299,,WD37,11,0.18182,0.17316,1.00000,,JS37,11,0.00000,0.17316,0.04775,Sd,PD37,12,0.00000,0.15942,0.04359,Sd,GD37,8,0.00000,0.50000,0.00678,Sd,JD37,10,0.00000,0.18947,0.05254,,PS37,9,0.11111,0.29412,0.17686,
154:41 [38],GS38,13,0.15385,0.14769,1.00000,,WD38,14,0.50000,0.38889,0.51242,,JS38,13,0.15385,0.14769,1.00000,,PD38,15,0.53333,0.40460,0.50777,,GD38,13,0.61538,0.44308,0.24406,,JD38,10,0.70000,0.47895,0.21983,,PS38,12,0.16667,0.15942,1.00000,
156:35 [39],GS39,12,0.08333,0.08333,1.00000,,WD39,12,0.00000,0.15942,0.04332,Sd,JS39,,,,,m,PD39,,,,,m,GD39,,,,,m,JD39,,,,,m,PS39,,,,,m
157:71 [40],GS40,15,0.00000,0.23908,0.00375,Sd,WD40,14,0.21429,0.19841,1.00000,,JS40,14,0.14286,0.13757,1.00000,,PD40,17,0.05882,0.40107,0.00112,Sd,GD40,13,0.00000,0.14769,0.04008,Sd,JD40,12,0.00000,0.15942,0.04386,Sd,PS40,12,0.25000,0.48913,0.20493,
161:61 [41],GS41,15,0.00000,0.12874,0.03391,Sd,WD41,,,,,m,JS41,14,0.07143,0.07143,1.00000,,PD41,17,0.05882,0.05882,1.00000,,GD41,,,,,m,JD41,,,,,m,PS41,,,,,m
172:5 [42],GS42,15,0.93333,0.51494,0.00172,Se,WD42,10,1.00000,0.52632,0.00700,Se,JS42,13,1.00000,0.52000,0.00076,Se,PD42,14,1.00000,0.51852,0.00050,Se,GD42,13,1.00000,0.52000,0.00077,Se,JD42,11,0.90909,0.51948,0.01819,Se,PS42,11,1.00000,0.52381,0.00286,Se
172:75 [43],GS43,15,0.13333,0.12874,1.00000,,WD43,10,0.10000,0.10000,1.00000,,JS43,12,0.08333,0.08333,1.00000,,PD43,14,0.07143,0.07143,1.00000,,GD43,,,,,m,JD43,11,0.09091,0.09091,1.00000,,PS43,11,0.09091,0.09091,1.00000,
173:70 [44],GS44,,,,,m,WD44,14,0.35714,0.51587,0.31569,,JS44,14,0.00000,0.25397,0.00455,Sd,PD44,17,0.00000,0.21390,0.00301,Sd,GD44,,,,,m,JD44,12,0.33333,0.46377,0.51793,,PS44,12,0.00000,0.15942,0.04371,Sd
176:14 [45],GS45,13,0.00000,0.49231,0.00021,Sd,WD45,13,0.00000,0.27077,0.00518,Sd,JS45,12,0.16667,0.46377,0.04428,Sd,PD45,14,0.14286,0.34921,0.06519,,GD45,12,0.08333,0.34420,0.03119,Sd,JD45,11,0.00000,0.17316,0.04729,Sd,PS45,12,0.16667,0.50725,0.02800,Sd
185:26 [46],GS46,,,,,m,WD46,14,0.00000,0.25397,0.00445,Sd,JS46,,,,,m,PD46,,,,,m,GD46,,,,,m,JD46,,,,,m,PS46,,,,,m
185:27 [47],GS47,,,,,m,WD47,14,0.14286,0.13757,1.00000,,JS47,,,,,m,PD47,,,,,m,GD47,,,,,m,JD47,,,,,m,PS47,,,,,m
185:30 [48],GS48,,,,,m,WD48,14,0.00000,0.25397,0.00436,Sd,JS48,,,,,m,PD48,,,,,m,GD48,,,,,m,JD48,,,,,m,PS48,,,,,m
186:49 [49],GS49,,,,,m,WD49,11,0.18182,0.17316,1.00000,,JS49,,,,,m,PD49,,,,,m,GD49,,,,,m,JD49,,,,,m,PS49,,,,,m
195:14 [50],GS50,,,,,m,WD50,,,,,m,JS50,,,,,m,PD50,16,0.06250,0.06250,1.00000,,GD50,10,0.10000,0.10000,1.00000,,JD50,,,,,m,PS50,,,,,m
195:30 [51],GS51,,,,,m,WD51,,,,,m,JS51,,,,,m,PD51,16,0.06250,0.06250,1.00000,,GD51,10,0.10000,0.10000,1.00000,,JD51,,,,,m,PS51,,,,,m
208:3 [52],GS52,,,,,m,WD52,12,0.08333,0.08333,1.00000,,JS52,11,0.18182,0.17316,1.00000,,PD52,14,0.14286,0.13757,1.00000,,GD52,,,,,m,JD52,,,,,m,PS52,,,,,m
208:17 [53],GS53,,,,,m,WD53,,,,,m,JS53,10,0.10000,0.10000,1.00000,,PD53,11,0.09091,0.09091,1.00000,,GD53,,,,,m,JD53,10,0.10000,0.10000,1.00000,,PS53,7,0.14286,0.14286,1.00000,
208:33 [54],GS54,,,,,m,WD54,,,,,m,JS54,,,,,m,PD54,12,0.08333,0.08333,1.00000,,GD54,10,0.10000,0.10000,1.00000,,JD54,10,0.30000,0.26842,1.00000,,PS54,8,0.12500,0.12500,1.00000,
208:44 [55],GS55,14,0.07143,0.19841,0.11095,,WD55,,,,,m,JS55,,,,,m,PD55,12,0.16667,0.15942,1.00000,,GD55,9,0.11111,0.11111,1.00000,,JD55,,,,,m,PS55,7,0.14286,0.14286,1.00000,
209:19 [56],GS56,9,0.11111,0.11111,1.00000,,WD56,,,,,m,JS56,10,0.10000,0.26842,0.15700,,PD56,11,0.00000,0.17316,0.04774,Sd,GD56,10,0.10000,0.10000,1.00000,,JD56,,,,,m,PS56,,,,,m
212:10 [57],GS57,12,0.08333,0.22826,0.13011,,WD57,11,0.27273,0.45455,0.23185,,JS57,13,0.07692,0.32308,0.02531,Sd,PD57,15,0.06667,0.06667,1.00000,,GD57,,,,,m,JD57,8,0.00000,0.23333,0.06693,,PS57,10,0.10000,0.26842,0.15750,
229:27 [58],GS58,,,,,m,WD58,,,,,m,JS58,,,,,m,PD58,16,0.18750,0.17540,1.00000,,GD58,,,,,m,JD58,12,0.25000,0.22826,1.00000,,PS58,12,0.16667,0.28986,0.25348,
229:63 [59],GS59,15,0.00000,0.33103,0.00088,Sd,WD59,,,,,m,JS59,13,0.00000,0.14769,0.03967,Sd,PD59,17,0.23529,0.21390,1.00000,,GD59,,,,,m,JD59,12,0.25000,0.22826,1.00000,,PS59,12,0.25000,0.43116,0.19395,
231:8 [60],GS60,14,0.00000,0.50794,0.00009,Sd,WD60,11,0.18182,0.17316,1.00000,,JS60,10,0.00000,0.50526,0.00166,Sd,PD60,13,0.00000,0.14769,0.04000,Sd,GD60,11,0.09091,0.50649,0.00927,Sd,JD60,11,0.00000,0.17316,0.04748,Sd,PS60,6,0.50000,0.53030,1.00000,
231:31 [61],GS61,,,,,m,WD61,11,0.18182,0.17316,1.00000,,JS61,10,0.00000,0.33684,0.00921,Sd,PD61,14,0.07143,0.30423,0.02256,Sd,GD61,11,0.09091,0.24675,0.14255,,JD61,11,0.09091,0.24675,0.14275,,PS61,,,,,m
241:74 [62],GS62,13,0.38462,0.52000,0.57786,,WD62,11,0.27273,0.52381,0.22122,,JS62,9,0.44444,0.52288,1.00000,,PD62,16,0.18750,0.41734,0.04743,Sd,GD62,11,0.00000,0.51948,0.00074,Sd,JD62,11,0.45455,0.52381,1.00000,,PS62,9,0.55556,0.52941,1.00000,
247:39 [63],GS63,,,,,m,WD63,10,0.40000,0.52632,0.56312,,JS63,12,0.00000,0.46377,0.00053,Sd,PD63,13,0.00000,0.36923,0.00129,Sd,GD63,9,0.11111,0.50327,0.03135,Sd,JD63,10,0.20000,0.33684,0.30628,,PS63,8,0.12500,0.32500,0.19972,
249:51 [64],GS64,,,,,m,WD64,,,,,m,JS64,,,,,m,PD64,17,0.11765,0.21390,0.17925,,GD64,13,0.00000,0.14769,0.04044,Sd,JD64,11,0.00000,0.41558,0.00223,Sd,PS64,11,0.09091,0.09091,1.00000,
250:18 [65],GS65,13,0.46154,0.44308,1.00000,,WD65,10,0.80000,0.50526,0.17270,,JS65,12,0.50000,0.46377,1.00000,,PD65,14,0.50000,0.45238,1.00000,,GD65,11,0.27273,0.24675,1.00000,,JD65,12,0.50000,0.39130,0.52897,,PS65,11,0.54545,0.41558,0.50471,
251:18 [66],GS66,13,0.00000,0.36923,0.00143,Sd,WD66,,,,,m,JS66,11,0.00000,0.17316,0.04725,Sd,PD66,14,0.07143,0.19841,0.11095,,GD66,10,0.10000,0.26842,0.15808,,JD66,12,0.00000,0.28986,0.00608,Sd,PS66,,,,,m
251:28 [67],GS67,13,0.15385,0.14769,1.00000,,WD67,11,0.09091,0.09091,1.00000,,JS67,9,0.11111,0.11111,1.00000,,PD67,14,0.07143,0.07143,1.00000,,GD67,10,0.10000,0.10000,1.00000,,JD67,12,0.08333,0.08333,1.00000,,PS67,,,,,m
251:39 [68],GS68,13,0.15385,0.14769,1.00000,,WD68,,,,,m,JS68,9,0.11111,0.11111,1.00000,,PD68,,,,,m,GD68,,,,,m,JD68,12,0.08333,0.08333,1.00000,,PS68,,,,,m
251:46 [69],GS69,13,0.07692,0.07692,1.00000,,WD69,,,,,m,JS69,,,,,m,PD69,,,,,m,GD69,,,,,m,JD69,12,0.08333,0.08333,1.00000,,PS69,,,,,m
256:24 [70],GS70,,,,,m,WD70,14,0.28571,0.34921,0.49066,,JS70,,,,,m,PD70,17,0.05882,0.05882,1.00000,,GD70,,,,,m,JD70,12,0.00000,0.15942,0.04362,Sd,PS70,,,,,m
256:37 [71],GS71,,,,,m,WD71,14,0.28571,0.34921,0.49093,,JS71,,,,,m,PD71,17,0.05882,0.05882,1.00000,,GD71,,,,,m,JD71,12,0.00000,0.15942,0.04298,Sd,PS71,,,,,m
256:64 [72],GS72,,,,,m,WD72,14,0.28571,0.34921,0.48923,,JS72,,,,,m,PD72,17,0.05882,0.05882,1.00000,,GD72,,,,,m,JD72,12,0.00000,0.15942,0.04342,Sd,PS72,,,,,m
264:64 [73],GS73,,,,,m,WD73,13,0.00000,0.14769,0.04036,Sd,JS73,9,0.11111,0.29412,0.17592,,PD73,15,0.06667,0.06667,1.00000,,GD73,9,0.00000,0.20915,0.05876,,JD73,11,0.09091,0.36797,0.03752,Sd,PS73,,,,,m
274:64 [74],GS74,13,0.00000,0.36923,0.00127,Sd,WD74,14,0.21429,0.19841,1.00000,,JS74,14,0.00000,0.13757,0.03726,Sd,PD74,15,0.13333,0.23908,0.20231,,GD74,12,0.00000,0.39130,0.00166,Sd,JD74,12,0.16667,0.15942,1.00000,,PS74,10,0.10000,0.10000,1.00000,
278:7 [75],GS75,14,0.00000,0.34921,0.00097,Sd,WD75,13,0.30769,0.27077,1.00000,,JS75,11,0.00000,0.17316,0.04781,Sd,PD75,14,0.07143,0.45238,0.00282,Sd,GD75,13,0.00000,0.44308,0.00045,Sd,JD75,11,0.36364,0.48485,0.53783,,PS75,,,,,m
283:4 [76],GS76,12,0.00000,0.15942,0.04347,Sd,WD76,11,0.09091,0.09091,1.00000,,JS76,12,0.08333,0.08333,1.00000,,PD76,,,,,m,GD76,,,,,m,JD76,,,,,m,PS76,,,,,m
283:24 [77],GS77,12,0.00000,0.15942,0.04320,Sd,WD77,11,0.09091,0.09091,1.00000,,JS77,12,0.08333,0.08333,1.00000,,PD77,,,,,m,GD77,,,,,m,JD77,,,,,m,PS77,,,,,m
283:75 [78],GS78,12,0.00000,0.15942,0.04367,Sd,WD78,11,0.09091,0.09091,1.00000,,JS78,12,0.08333,0.08333,1.00000,,PD78,,,,,m,GD78,,,,,m,JD78,,,,,m,PS78,,,,,m
284:28 [79],GS79,,,,,m,WD79,,,,,m,JS79,12,0.08333,0.22826,0.13082,,PD79,,,,,m,GD79,,,,,m,JD79,,,,,m,PS79,,,,,m
284:34 [80],GS80,13,0.00000,0.14769,0.04027,Sd,WD80,12,0.08333,0.08333,1.00000,,JS80,12,0.08333,0.08333,1.00000,,PD80,,,,,m,GD80,,,,,m,JD80,,,,,m,PS80,,,,,m
289:43 [81],GS81,,,,,m,WD81,14,0.28571,0.50794,0.13239,,JS81,,,,,m,PD81,16,0.18750,0.51411,0.01522,Sd,GD81,13,0.15385,0.49231,0.01981,Sd,JD81,12,0.25000,0.34420,0.40364,,PS81,,,,,m
289:46 [82],GS82,,,,,m,WD82,14,0.28571,0.50794,0.13264,,JS82,,,,,m,PD82,16,0.18750,0.51411,0.01501,Sd,GD82,13,0.15385,0.49231,0.01995,Sd,JD82,12,0.25000,0.34420,0.40305,,PS82,,,,,m
289:64 [83],GS83,,,,,m,WD83,14,0.28571,0.50794,0.13232,,JS83,,,,,m,PD83,16,0.18750,0.51411,0.01498,Sd,GD83,13,0.15385,0.49231,0.01979,Sd,JD83,12,0.25000,0.34420,0.40326,,PS83,,,,,m
289:73 [84],GS84,,,,,m,WD84,14,0.28571,0.50794,0.13150,,JS84,,,,,m,PD84,16,0.18750,0.51411,0.01492,Sd,GD84,13,0.15385,0.49231,0.01966,Sd,JD84,12,0.25000,0.34420,0.40352,,PS84,,,,,m
294:44 [85],GS85,15,0.00000,0.23908,0.00385,Sd,WD85,14,0.21429,0.38889,0.14207,,JS85,,,,,m,PD85,17,0.17647,0.25847,0.28875,,GD85,13,0.07692,0.07692,1.00000,,JD85,,,,,m,PS85,12,0.08333,0.08333,1.00000,
297:43 [86],GS86,,,,,m,WD86,,,,,m,JS86,,,,,m,PD86,,,,,m,GD86,,,,,m,JD86,,,,,m,PS86,12,0.08333,0.22826,0.13077,
317:43 [87],GS87,,,,,m,WD87,14,0.28571,0.25397,1.00000,,JS87,,,,,m,PD87,17,0.23529,0.47059,0.09860,,GD87,13,0.23077,0.52000,0.08935,,JD87,12,0.16667,0.50725,0.02816,Sd,PS87,,,,,m
332:16 [88],GS88,,,,,m,WD88,,,,,m,JS88,13,0.00000,0.14769,0.03974,Sd,PD88,,,,,m,GD88,,,,,m,JD88,,,,,m,PS88,12,0.00000,0.15942,0.04313,Sd
335:71 [89],GS89,,,,,m,WD89,,,,,m,JS89,,,,,m,PD89,17,0.05882,0.16578,0.09152,,GD89,,,,,m,JD89,12,0.00000,0.15942,0.04373,Sd,PS89,,,,,m
339:63 [90],GS90,,,,,m,WD90,11,0.09091,0.09091,1.00000,,JS90,13,0.00000,0.14769,0.04049,Sd,PD90,,,,,m,GD90,11,0.09091,0.09091,1.00000,,JD90,,,,,m,PS90,10,0.20000,0.44211,0.13357,
339:70 [91],GS91,,,,,m,WD91,11,0.09091,0.09091,1.00000,,JS91,13,0.00000,0.14769,0.04017,Sd,PD91,,,,,m,GD91,11,0.09091,0.09091,1.00000,,JD91,,,,,m,PS91,10,0.20000,0.44211,0.13330,
343:72 [92],GS92,14,0.00000,0.25397,0.00448,Sd,WD92,13,0.00000,0.27077,0.00525,Sd,JS92,13,0.07692,0.07692,1.00000,,PD92,17,0.05882,0.25847,0.01444,Sd,GD92,,,,,m,JD92,11,0.09091,0.09091,1.00000,,PS92,,,,,m
350:14 [93],GS93,12,0.25000,0.22826,1.00000,,WD93,,,,,m,JS93,11,0.18182,0.17316,1.00000,,PD93,,,,,m,GD93,,,,,m,JD93,11,0.09091,0.09091,1.00000,,PS93,,,,,m
350:23 [94],GS94,12,0.25000,0.22826,1.00000,,WD94,7,0.71429,0.49451,0.44102,,JS94,11,0.45455,0.36797,1.00000,,PD94,13,0.69231,0.47077,0.21018,,GD94,10,0.50000,0.39474,1.00000,,JD94,9,0.55556,0.42484,1.00000,,PS94,10,0.70000,0.47895,0.22004,
350:66 [95],GS95,,,,,m,WD95,,,,,m,JS95,,,,,m,PD95,,,,,m,GD95,10,0.10000,0.10000,1.00000,,JD95,,,,,m,PS95,10,0.10000,0.10000,1.00000,
352:34 [96],GS96,14,0.92857,0.51587,0.00463,Se,WD96,11,0.90909,0.51948,0.01821,Se,JS96,14,1.00000,0.51852,0.00047,Se,PD96,14,1.00000,0.51852,0.00062,Se,GD96,13,1.00000,0.52000,0.00079,Se,JD96,11,1.00000,0.52381,0.00305,Se,PS96,9,0.88889,0.52288,0.05577,
352:42 [97],GS97,14,0.92857,0.51587,0.00435,Se,WD97,12,0.91667,0.51812,0.01421,Se,JS97,14,1.00000,0.51852,0.00046,Se,PD97,14,1.00000,0.51852,0.00048,Se,GD97,13,1.00000,0.52000,0.00075,Se,JD97,11,1.00000,0.52381,0.00293,Se,PS97,9,0.88889,0.52288,0.05633,
353:53 [98],GS98,12,0.75000,0.51812,0.23804,,WD98,11,0.81818,0.50649,0.06525,,JS98,14,0.57143,0.47619,0.58946,,PD98,9,0.55556,0.50327,1.00000,,GD98,11,0.72727,0.48485,0.19174,,JD98,11,0.63636,0.45455,0.47966,,PS98,6,0.83333,0.53030,0.39338,
353:72 [99],GS99,13,0.69231,0.58769,0.01475,Se,WD99,12,0.75000,0.58333,0.00330,Se,JS99,14,0.50000,0.54233,0.04088,Sd,PD99,9,0.55556,0.50327,1.00000,,GD99,11,0.72727,0.48485,0.19124,,JD99,11,0.63636,0.45455,0.48033,,PS99,6,0.83333,0.53030,0.39346,
357:71 [100],GS100,13,0.38462,0.32308,1.00000,,WD100,11,0.09091,0.09091,1.00000,,JS100,8,0.25000,0.23333,1.00000,,PD100,,,,,m,GD100,8,0.12500,0.12500,1.00000,,JD100,,,,,m,PS100,10,0.30000,0.26842,1.00000,
