LOCUS,GD,WD,PD,JD,JS,PS,GS,SUMMARY
104:72 [139],m,,m,m,,Sd,m,
105:62 [140],,,,,,,,
105:67 [141],,,,,,,,
105:78 [142],,,,,,,,
106:34 [143],,,,,,,m,
106:43 [144],m,m,m,m,,,m,
113:11 [145],,,,,,,,
113:45 [146],,,m,,,,,
113:50 [147],,,,,,,,
113:53 [148],,,m,,,,,
116:5 [149],,,,,Sd,,Sd,
116:8 [150],m,Sd,,m,m,m,m,
116:21 [151],m,,m,m,Sd,m,m,
116:22 [152],m,,m,m,Sd,m,m,
119:3 [153],m,,m,m,,m,m,
119:7 [154],,m,m,m,m,,Sd,
119:27 [155],,,,m,,m,,
119:30 [156],,,,,,Sd,Sd,
119:36 [157],,m,m,,m,m,m,
119:37 [158],,m,,m,m,m,Sd,
119:54 [159],,m,,,,,Sd,
119:57 [160],,m,m,m,m,,Sd,
119:75 [161],m,m,Sd,,m,m,,
120:15 [162],m,,m,,m,,,
120:25 [163],,,m,,m,,,
120:31 [164],,,,,,Sd,,
120:32 [165],,m,,,,,,
120:41 [166],,Sd,,,,Sd,,
121:14 [167],,,Sd,,,,Sd,
121:78 [168],m,,,,m,m,m,
123:35 [169],,,,m,m,,,
123:40 [170],,,,,,,,
123:53 [171],m,m,,m,m,,m,
123:69 [172],m,m,,m,m,,m,
130:11 [173],,,Sd,m,m,,,
130:42 [174],,,,,,,Sd,
130:55 [175],m,m,m,Sd,m,,m,
130:71 [176],,,,,,,Sd,
133:1 [177],Sd,,m,m,m,,,
133:5 [178],Sd,,Sd,,,,Sd,
133:6 [179],Sd,,Sd,,,,Sd,
133:15 [180],m,m,m,,,m,m,
133:56 [181],Sd,,m,m,m,,,
133:65 [182],,,,,,m,,
133:67 [183],,,,,,,Sd,
133:78 [184],,,,,,,,
144:66 [185],m,m,,,m,,,
145:6 [186],m,m,m,,m,m,,
145:14 [187],m,,Sd,m,m,m,Sd,
145:17 [188],m,m,m,m,Sd,m,,
145:26 [189],,,,,,,,
145:37 [190],,,,m,,,,
145:48 [191],m,,Sd,m,m,m,Sd,
145:49 [192],m,m,m,,m,m,,
145:54 [193],m,,Sd,m,m,m,Sd,
145:74 [194],m,,Sd,m,m,m,Sd,
145:80 [195],m,,Sd,m,m,m,Sd,
149:18 [196],,,,,,,,
149:50 [197],Sd,,,,Sd,,,
149:57 [198],,m,,m,,m,m,
149:65 [199],,m,,m,,m,m,
149:68 [200],m,m,,m,m,,,
152:62 [201],,m,,,,,,
164:20 [202],,,,,,,,
164:56 [203],,,,Sd,,,,
166:5 [204],m,Sd,m,m,,m,,
166:7 [205],,Sd,,,,,,
166:35 [206],,,,,,,,
166:41 [207],m,,m,,,m,,
166:54 [208],,,,,,,,
166:70 [209],,,,,,,,
167:17 [210],,Sd,,m,m,m,,
169:5 [211],Sd,,,,,Sd,,
169:6 [212],Sd,,,,,,,
169:14 [213],,,m,,m,m,,
169:25 [214],m,Sd,,m,m,,m,
169:29 [215],,,,,m,,,
169:36 [216],,,,,,,,
169:46 [217],m,,,,,Sd,,
169:57 [218],m,,m,Sd,,m,,
169:69 [219],Sd,,,,,,,
169:73 [220],Sd,m,m,m,,m,m,
175:2 [221],,,,,,,,
175:17 [222],m,m,m,,m,m,,
175:23 [223],,,,,,,,
175:31 [224],,,m,Sd,,,m,
175:39 [225],,,,Sd,,,,
175:46 [226],,,,,,,,
175:52 [227],,,m,Sd,,,m,
175:55 [228],,,,,Sd,Sd,,
175:56 [229],,,Sd,,Sd,Sd,,
175:57 [230],,,m,m,m,m,m,
175:58 [231],,,Sd,,Sd,Sd,,
179:13 [232],,,,,,,,
179:23 [233],,,,,,,,
179:54 [234],,,,,,,,
180:15 [235],m,,,m,,,m,
180:30 [236],m,,m,,,,,
180:65 [237],,,,,,,,
189:30 [238],,,,,,,Sd,
189:31 [239],,,,,,m,,
189:37 [240],,,,,,,,
197:19 [241],,m,m,Sd,m,,m,
197:26 [242],,,,,,,,
197:61 [243],,,,,,,,
198:16 [244],,,Sd,,,,,
198:33 [245],m,m,,Sd,m,m,m,
198:50 [246],,,m,,,,,
200:42 [247],,,,,,,,
201:2 [248],m,,,m,m,m,m,
201:12 [249],m,m,m,m,,,m,
201:64 [250],,,,,,,Sd,
204:7 [251],m,,,,,m,m,
204:34 [252],m,,,,,m,m,
204:70 [253],m,,,,,,,
204:75 [254],m,,,,,,,
210:1 [255],,,m,,,m,m,
210:8 [256],,,,Sd,m,,Sd,
210:10 [257],,,,,Sd,,Sd,
210:44 [258],m,m,m,m,m,,m,
210:53 [259],,m,,,,,,
210:56 [260],,,,,,,,
212:1 [261],m,m,,m,m,,,
212:80 [262],Sd,m,m,,m,,,
216:3 [263],Sd,,m,,,,,
216:25 [264],Sd,,m,m,m,m,m,
216:47 [265],Sd,,m,m,m,m,m,
216:51 [266],m,,,,,,m,
218:67 [267],Sd,m,m,m,m,,,
218:78 [268],m,,,m,m,m,m,
219:41 [269],m,m,m,m,m,m,m,FIXED
225:2 [270],,,,,,,,
225:18 [271],m,m,,m,m,,,
225:59 [272],,m,m,,,m,m,
225:80 [273],,,,,,,,
229:55 [274],Sd,,,,,m,,
231:34 [275],,,,,,,,
231:43 [276],m,m,m,Sd,,m,,
231:55 [277],m,m,,m,,,,
231:75 [278],,m,,m,m,m,m,
232:51 [279],m,m,m,m,,,m,
233:2 [280],,m,,,,m,,
233:12 [281],,m,,,,m,,
239:56 [282],m,m,m,m,,m,,
242:19 [283],,,,,,,,
243:51 [284],,,,,,,,
245:6 [285],m,,m,m,m,,m,
245:16 [286],,,m,,,,,
245:23 [287],,,,,,m,,
245:24 [288],m,m,m,m,m,,,
245:37 [289],,,,,,,,
245:58 [290],m,m,,m,,m,,
249:64 [291],,,,,,,,
251:20 [292],,,m,,,,Sd,
251:50 [293],m,,,,,,m,
253:39 [294],,,m,m,,,,
253:65 [295],,,m,m,,,,
253:71 [296],m,,m,,,,,
254:5 [297],m,,m,,m,,,
254:23 [298],Sd,,Sd,,m,m,,
254:55 [299],m,,Sd,m,m,m,,
255:37 [300],m,,,m,,,m,
256:6 [301],,,,,,Sd,,
256:12 [302],,,,,,,,
256:45 [303],,,,,,Sd,,
256:57 [304],m,,,m,m,,m,
258:36 [305],m,m,,m,Sd,,,
258:45 [306],m,m,,m,Sd,,,
258:66 [307],Sd,Sd,,,,,Sd,
259:29 [308],,,,m,m,,,
259:69 [309],,Sd,,,,,m,
262:3 [310],,Sd,Sd,Sd,,,,
262:9 [311],,Sd,Sd,Sd,,,,
266:67 [312],,m,,m,m,,,
266:72 [313],,,,,,,,
266:74 [314],,m,m,,,,m,
271:16 [315],m,m,,,,,Sd,
271:23 [316],m,m,,m,,m,Sd,
272:28 [317],m,m,m,m,m,m,,
284:78 [318],,m,,m,m,,Sd,
285:37 [319],m,,,m,,m,,
285:40 [320],Sd,Sd,Sd,Sd,,,,
285:77 [321],Sd,Sd,,Sd,Sd,,,
286:30 [322],Sd,,,m,,m,,
287:42 [323],,,,,,,m,
288:6 [324],,,,,,,m,
288:10 [325],m,,Sd,,,,,
288:11 [326],,,,,,,,
288:17 [327],,,,,,,Sd,
288:22 [328],,,,,,,Sd,
288:30 [329],,,,Sd,,,,
288:38 [330],,,,,,,Sd,
288:45 [331],m,,,m,m,m,m,
289:46 [332],,,,m,,,m,
289:69 [333],m,,Sd,m,,m,m,
289:71 [334],m,,m,m,,m,m,
289:79 [335],m,,m,m,,m,m,
295:18 [336],m,m,,m,,m,,
295:47 [337],,,m,m,m,m,Sd,
295:60 [338],,,,,,,,
297:57 [339],,Sd,m,Sd,,Sd,,
299:18 [340],,,,,m,,Sd,
311:20 [341],m,,,m,m,Sd,m,
311:23 [342],,,,,,Sd,m,
311:36 [343],m,,m,m,m,Sd,,
313:24 [344],m,m,m,,,m,m,
313:31 [345],m,,m,m,m,,,
313:59 [346],m,m,,m,,,,
315:47 [347],m,,m,Sd,m,m,m,
315:54 [348],,,m,,,m,,
317:3 [349],m,,m,,m,,,
317:11 [350],m,,m,,m,,,
317:33 [351],,,,,,,,
317:45 [352],,,,,,,,
317:46 [353],m,,m,m,,m,,
317:76 [354],,,,,,,,
317:80 [355],,,,,,,,
319:26 [356],,,m,m,,,m,
319:28 [357],,m,m,,,m,,
320:25 [358],,m,m,,,,,
321:5 [359],,,m,,,,,
321:16 [360],,,,,,,,
321:43 [361],m,,m,,m,,m,
321:62 [362],m,,m,,m,,m,
323:3 [363],,,,,,,,
323:72 [364],,,,,,,,
324:26 [365],Sd,,,,,,Sd,
324:64 [366],Sd,,,,,,,
326:7 [367],,,,,,,Sd,
326:23 [368],,,Sd,,,,,
326:31 [369],,,,,,,Sd,
326:58 [370],,,,,,,Sd,
327:2 [371],m,m,,,,m,,
327:14 [372],m,,m,,m,,,
327:19 [373],m,m,,m,,m,Sd,
327:29 [374],,,m,,,m,m,
327:44 [375],,,m,,,m,m,
331:33 [376],m,m,m,m,m,,,
333:4 [377],,,,,,,,
333:45 [378],,,,,m,,m,
334:42 [379],,,,,,,,
334:64 [380],,,,,m,,,
337:63 [381],,,,,,,,
340:58 [382],,,,,,,,
350:7 [383],,,m,m,m,,,
350:13 [384],,,,,Sd,,,
350:23 [385],m,,,m,Sd,m,,
350:41 [386],,,,,Sd,,,
350:45 [387],,,,,Sd,,,
352:11 [388],,,m,,,,,
352:23 [389],,,Sd,Sd,,,,
352:46 [390],,,,,,,,
352:65 [391],,Sd,,,,,m,
358:12 [392],m,,m,,,m,,
358:77 [393],m,,m,,,m,,
359:36 [394],,,,,,,,
359:48 [395],m,m,m,m,m,m,,
360:7 [396],,,,,,,,
360:29 [397],m,,,,,Sd,,
360:33 [398],,,,,,,,
360:34 [399],,m,,Sd,m,,,
360:65 [400],m,m,,m,m,,m,
360:66 [401],m,Sd,,,,,,
362:13 [402],,m,,m,m,,m,
362:55 [403],,m,,m,m,,m,
362:73 [404],,Sd,,,Sd,,Sd,
362:74 [405],,m,,m,m,,m,
368:25 [406],,,,,m,,,
368:46 [407],,m,,m,m,m,m,
368:56 [408],m,m,m,m,,,,
368:60 [409],,m,,m,m,m,m,
368:80 [410],m,,,,,,,
378:37 [411],,,,,,,m,
378:56 [412],m,,,,,,,
378:59 [413],,m,m,m,,m,,
378:61 [414],,m,,m,,,,
380:21 [415],,Sd,Sd,,,,,
380:39 [416],,,,,,Sd,,
380:46 [417],,,Sd,,m,,,
380:54 [418],,,,,,Sd,,
380:59 [419],,,Sd,,m,,,
380:73 [420],m,m,,,m,m,Sd,
381:29 [421],m,Sd,,,,,,
381:45 [422],m,Sd,,,,,,
381:60 [423],m,Sd,,,,,,
381:70 [424],m,,m,Sd,m,Sd,m,
382:50 [425],,,m,m,m,m,m,
385:18 [426],m,m,m,m,m,,m,
385:35 [427],,,m,,,m,,
385:36 [428],m,m,m,m,m,,m,
385:45 [429],m,m,m,m,m,,m,
385:48 [430],m,m,m,m,m,,m,
385:56 [431],,m,,,,,,
385:63 [432],,m,m,m,,m,m,
386:9 [433],m,,,,m,,m,
386:24 [434],m,,,,m,,m,
386:44 [435],m,m,Sd,m,m,Sd,m,
390:5 [436],Sd,m,,,,,m,
390:41 [437],,m,m,m,m,m,,
390:62 [438],,Sd,m,m,Sd,,m,
391:11 [439],,,,,,,,
391:13 [440],m,m,,,m,,,
391:27 [441],m,m,m,m,,,m,
391:50 [442],m,m,m,,m,m,,
393:44 [443],,,,,,,,
393:51 [444],,m,m,,m,m,m,
398:55 [445],,,,,Sd,,,
400:10 [446],,m,,,,,,
400:15 [447],m,m,m,,m,m,m,
400:29 [448],,,m,m,,,,
400:31 [449],,,,,Sd,,,
400:62 [450],,,,,,,,
400:80 [451],,,,,,,,
401:14 [452],,,,,,,,
401:23 [453],m,m,m,m,,,m,
401:34 [454],Sd,m,m,m,m,m,m,
401:48 [455],m,m,m,,,,,
401:66 [456],m,m,,,m,m,m,
401:76 [457],,m,,m,,m,m,
402:29 [458],,m,,,Sd,m,,
405:19 [459],,m,,,,,,
407:6 [460],,,m,m,,,Sd,
407:15 [461],,,,,,,Sd,
407:52 [462],,,,,,,m,
407:67 [463],Sd,,,,,,,
407:68 [464],,,,m,,,,
407:78 [465],,m,,,,,m,
412:6 [466],m,,,,,,,
412:31 [467],m,m,,m,m,m,,
412:51 [468],,,,,m,,,
412:53 [469],m,m,,m,Sd,m,,
412:71 [470],m,,,,,,,
412:72 [471],m,m,m,,,m,m,
413:13 [472],m,,,m,,,,
413:37 [473],,,,,,m,,
413:50 [474],m,m,m,,m,,,
413:51 [475],m,m,m,,m,,,
414:56 [476],m,m,,m,,m,m,
415:4 [477],,,,,m,,,
415:5 [478],m,m,m,m,m,m,m,FIXED
415:10 [479],m,,m,,Sd,m,m,
415:17 [480],Sd,,,,,,,
415:20 [481],Sd,m,,,,,m,
415:23 [482],m,,m,,Sd,m,m,
415:25 [483],m,,m,,Sd,m,m,
415:39 [484],Sd,,,Sd,m,m,,
415:48 [485],m,,m,,,m,,
415:62 [486],m,m,m,,m,,,
415:73 [487],Sd,m,,,,,m,
415:74 [488],,,,,,,,
418:10 [489],m,m,m,m,m,m,,
418:12 [490],m,,m,,,,,
418:52 [491],m,,m,,m,m,m,
418:66 [492],,,,,Sd,,,
418:67 [493],,,,,,,,
418:69 [494],,,,,,,,
418:75 [495],,,,,,,,
418:79 [496],,,,,,,,
422:12 [497],m,m,,m,m,m,m,
422:14 [498],,,m,,,,m,
424:8 [499],m,,,,,,,
424:24 [500],,,,,,,,
424:44 [501],m,,,,,m,,
424:69 [502],,m,,m,,,m,
425:69 [503],,,,,m,,Sd,
432:4 [504],m,,,,,,m,
432:18 [505],,Sd,,Sd,,Sd,,
432:24 [506],,,,,,,,
432:38 [507],,,,Sd,,m,,
432:52 [508],,,,,,,,
432:57 [509],m,,,,,,m,
432:71 [510],,m,m,,m,,,
432:75 [511],,,,,,,,
441:41 [512],,,m,,Sd,,,
441:65 [513],,,,,,,,
443:33 [514],,,,,m,,m,
443:49 [515],,,,,m,,m,
445:10 [516],,,,,,,,
445:21 [517],,,,Sd,Sd,,,
445:42 [518],,m,,,,m,,
445:48 [519],,,,,,,,
446:6 [520],,,,,,,,
446:22 [521],Sd,m,,,,,,
449:2 [522],m,m,m,,,Sd,m,
449:22 [523],Sd,,,,,Sd,,
449:24 [524],m,m,,,Sd,,,
449:33 [525],,,,,,,m,
449:40 [526],m,m,m,,,Sd,m,
449:66 [527],m,,m,,,,m,
449:76 [528],m,m,,m,m,,,
451:33 [529],,,,,,,,
452:42 [530],m,m,m,m,m,,,
452:65 [531],m,,,m,Sd,m,m,
456:25 [532],,,,,,m,,
456:52 [533],,,,,,m,,
456:65 [534],,,,,m,m,,
456:67 [535],Sd,Sd,Sd,,,,,
456:68 [536],m,m,m,Sd,Sd,,,
456:72 [537],m,m,m,,Sd,,,
456:76 [538],,,Sd,m,m,,,
457:3 [539],,,,,,,,
457:51 [540],m,m,m,m,Sd,m,,
457:74 [541],,,,m,Sd,,m,
457:80 [542],,,,Sd,Sd,,,
459:10 [543],,,m,,m,,,
459:16 [544],,,m,,m,,,
459:20 [545],,,m,m,m,m,m,
459:22 [546],,,m,,m,,,
459:34 [547],,,m,,m,,,
459:47 [548],Sd,,,,,,,
459:67 [549],Sd,,m,m,,m,,
460:17 [550],m,m,,m,,,,
460:21 [551],,,,,,,,
460:24 [552],m,,m,,,m,m,
460:42 [553],,m,,,m,m,m,
460:53 [554],,m,,,m,m,m,
461:80 [555],,,,m,m,,,
463:37 [556],m,m,m,,m,,m,
463:38 [557],,,m,m,,m,,
465:19 [558],,,,,,,,
467:11 [559],m,,,m,,,,
467:47 [560],m,m,,m,m,,m,
470:17 [561],,,,Sd,Sd,,,
470:48 [562],m,,,Sd,m,,,
470:55 [563],,,,Sd,,,,
470:61 [564],m,m,,m,,m,m,
470:76 [565],,m,m,m,m,m,Sd,
471:11 [566],m,m,,,m,m,m,
472:19 [567],,,,,Sd,,,
472:61 [568],,,,,Sd,,,
476:22 [569],m,m,m,m,m,,m,
477:5 [570],,,,,,,,
477:22 [571],,,,m,m,m,m,
479:49 [572],m,,m,m,,,m,
479:51 [573],,,m,,m,,m,
479:52 [574],Sd,,,,,,,
480:20 [575],Sd,,,,,,,
480:39 [576],Sd,,,,,,,
483:15 [577],,m,,m,,,,
483:18 [578],,,m,,,m,m,
483:33 [579],,,,,,,,
483:35 [580],m,,,,m,,m,
483:55 [581],,,,,,,,
483:64 [582],,,m,,m,,,
483:79 [583],m,m,,m,m,m,,
492:7 [584],,m,m,m,m,m,m,
492:10 [585],,m,m,m,m,m,,
492:14 [586],,m,m,m,m,m,,
492:31 [587],,m,m,,m,m,m,
492:35 [588],,m,,,m,,m,
492:43 [589],,,,,,,,
492:61 [590],,m,m,,m,m,m,
492:68 [591],,m,m,m,m,m,,
496:11 [592],,,Sd,,Sd,,,
496:32 [593],m,m,m,m,m,,,
496:56 [594],,,,,,,,
496:72 [595],,,,,,,,
499:13 [596],,,,,,,,
499:14 [597],,m,m,,m,m,m,
501:4 [598],,m,,m,m,m,,
501:7 [599],,,,,Sd,,,
501:17 [600],,m,m,,,,,
501:18 [601],m,,m,,m,m,,
501:29 [602],,m,m,,,,,
501:39 [603],,m,m,m,,m,m,
501:44 [604],,m,m,,,,m,
501:47 [605],,,Sd,,Sd,,,
501:77 [606],m,m,m,,m,m,,
509:4 [607],m,,,Sd,,,,
509:12 [608],,Sd,,Sd,,,,
509:33 [609],m,m,m,m,m,m,m,FIXED
509:35 [610],,,,Sd,,,,
509:67 [611],,m,,,,,,
515:7 [612],m,,,,,,,
520:57 [613],m,,m,,m,,,
523:18 [614],,m,,m,,,,
523:74 [615],Sd,m,Sd,m,m,m,m,
526:2 [616],,,,,,,m,
526:3 [617],m,,m,m,,m,,
526:23 [618],,,,,,,,
532:34 [619],,,,,Sd,,m,
532:37 [620],m,m,m,m,m,,,
532:39 [621],m,m,,m,Sd,,,
535:30 [622],,,,Sd,,,,
535:34 [623],,,,,,,,
535:39 [624],Sd,,,,,,,
535:59 [625],,,,,,,,
535:68 [626],,,m,m,,,,
537:2 [627],,Sd,m,Sd,,m,,
537:4 [628],,,m,,,,,
537:6 [629],,,m,,,,,
537:8 [630],,Sd,Se,,Sd,,,EXCESS
537:10 [631],m,Sd,m,Sd,,m,,
537:30 [632],,,m,,Sd,,,
537:38 [633],,Sd,,,Sd,,,
537:63 [634],m,m,,,,,,
537:76 [635],,Sd,m,Sd,,m,,
538:8 [636],,,,,,Sd,,
538:23 [637],,,,,,Sd,m,
538:29 [638],,,,,,Sd,,
538:32 [639],,,,,m,,Sd,
538:52 [640],,,,,m,,Sd,
541:19 [641],m,,m,m,,m,m,
541:40 [642],m,m,,m,m,m,Sd,
541:42 [643],m,,m,,,,,
541:71 [644],m,,m,m,,m,m,
542:17 [645],m,,,,,,m,
542:30 [646],,m,,m,m,m,,
542:49 [647],,m,m,m,,m,m,
542:55 [648],,m,m,m,,,,
542:73 [649],,m,m,m,,,,
543:1 [650],,,,,,,,
543:16 [651],m,,,,,,m,
544:4 [652],m,m,,,,,,
544:10 [653],m,,m,m,m,m,m,
544:18 [654],m,Sd,m,m,,m,,
544:22 [655],,,,,,,,
544:40 [656],m,,m,m,m,m,m,
544:65 [657],m,m,,,,,,
546:34 [658],Sd,,,,Sd,Sd,Sd,
546:45 [659],Sd,Sd,,,Sd,Sd,,
547:41 [660],m,m,,,m,m,,
549:12 [661],,,,,Se,,,EXCESS
549:13 [662],,,,,Se,,,EXCESS
549:27 [663],,,,,Se,,,EXCESS
549:39 [664],,,,,Se,,,EXCESS
550:3 [665],m,,m,m,,m,,
550:4 [666],,m,,m,m,,,
561:34 [667],m,m,,m,Sd,m,m,
561:76 [668],m,m,,m,,m,,
562:24 [669],,,,,,,,
562:25 [670],m,m,,,m,m,m,
562:28 [671],,,,,,,,
562:42 [672],m,,,,,,,
562:48 [673],m,m,m,,m,,m,
562:70 [674],m,m,,,m,,,
565:17 [675],,,,,,,,
565:33 [676],,,,,,,Sd,
565:49 [677],,,,,,,,
565:55 [678],,Sd,,,,,,
568:1 [679],Sd,,,Sd,,,Sd,
568:3 [680],m,m,Sd,m,,Sd,m,
568:9 [681],,,,,,,,
568:10 [682],Sd,Sd,Sd,,,,Sd,
570:59 [683],m,m,m,m,m,,m,
570:68 [684],m,m,m,m,m,,m,
570:79 [685],m,m,,,m,,m,
572:18 [686],,,,Sd,,,,
572:37 [687],,,,,,,,
577:36 [688],m,m,,,m,m,m,
577:65 [689],,,m,m,m,m,,
583:14 [690],,,,,,,,
583:18 [691],m,,,m,,m,m,
583:61 [692],,,,,,,,
583:70 [693],,,,,,,Sd,
588:9 [694],,,,,,,,
588:30 [695],m,m,m,,,,,
588:35 [696],m,m,,m,,m,,
588:41 [697],m,,m,m,Sd,,,
588:58 [698],m,m,m,,,,,
588:71 [699],,,,,m,,,
590:2 [700],,,,,,,m,
590:9 [701],,,,,,,,
590:24 [702],,,m,m,m,,m,
590:29 [703],,,,,,,,
590:33 [704],,,,,,,,
591:16 [705],,,m,m,m,m,,
591:30 [706],,,,,,,,
592:9 [707],Sd,,,,,,Sd,
592:56 [708],,,,,,,,
592:64 [709],,,,,,,,
592:70 [710],,Sd,,,,,,
592:71 [711],,,,,,,,
594:38 [712],m,,,m,,,,
594:39 [713],,,Sd,Sd,,,Sd,
594:54 [714],,,Sd,Sd,,,Sd,
594:62 [715],,,,,,,Sd,
594:77 [716],,,Sd,Sd,,,Sd,
596:44 [717],,,,m,m,,,
596:46 [718],,m,,m,m,m,Sd,
596:64 [719],,m,,,m,,,
596:74 [720],,,,,Sd,,,
597:1 [721],,,,,,,,
597:7 [722],,,m,,m,,,
597:22 [723],m,,,Sd,,,,
597:52 [724],m,,,m,,,,
597:58 [725],,,,Sd,,,,
597:59 [726],,,,m,,,,
599:8 [727],,,,,,,,
599:24 [728],m,m,m,,m,,m,
599:74 [729],m,m,m,,m,m,,
599:78 [730],,,,,,,Sd,
599:80 [731],,,,,,,Sd,
603:3 [732],,m,,,m,m,m,
603:20 [733],,m,,,,m,Sd,
603:31 [734],m,,,m,,m,m,
603:65 [735],m,m,m,m,,m,,
605:11 [736],,,,,,,,
605:59 [737],,,,,,,,
606:7 [738],m,m,,m,m,,,
606:16 [739],,m,m,m,m,,,
606:63 [740],m,m,,m,m,m,m,
606:64 [741],,m,m,,m,m,,
606:69 [742],,,m,m,m,m,m,
606:72 [743],m,,m,,,m,m,
606:79 [744],m,m,,m,,,m,
607:20 [745],,m,,,m,m,,
607:21 [746],,m,,,m,,Sd,
607:23 [747],,,,,,,,
607:45 [748],,m,,,m,m,,
607:51 [749],,m,,,m,m,,
