Locus	Het	Fst	P(Simul Fst<sample Fst)
SNP_297	0.0	-100.0	0.5
SNP_298	0.287879	-0.044786	0.0
SNP_299	0.076923	0.04	0.9333
SNP_300	0.185315	0.024151	0.416941
SNP_301	0.0	-100.0	0.5
SNP_302	0.25	0.01909	0.485758
SNP_303	0.0	-100.0	0.5
SNP_304	0.133333	0.103448	1.0
SNP_305	0.384615	0.36	0.977506
SNP_306	0.111111	0.058824	0.704721
SNP_307	0.316667	0.004656	0.423478
SNP_308	0.5	-0.024488	0.205495
SNP_309	0.0	-100.0	0.5
SNP_310	0.423077	-0.027001	0.172649
SNP_311	0.153846	0.12	1.0
SNP_312	0.233333	0.206897	0.933364
SNP_313	0.252747	-0.021852	0.244336
SNP_314	0.252747	-0.021852	0.244336
SNP_315	0.252747	-0.021852	0.244336
SNP_316	0.344444	0.054629	0.5893
SNP_317	0.376374	0.039319	0.527005
SNP_318	0.0	-100.0	0.5
SNP_319	0.620879	0.497581	0.985135
SNP_320	0.333333	-0.034783	0.04091
SNP_321	0.0	-100.0	0.5
SNP_322	0.0	-100.0	0.5
SNP_323	0.340909	-0.03609	0.059347
SNP_324	0.066667	0.034483	0.904011
SNP_325	0.43956	0.254222	0.938779
SNP_326	0.385714	0.137102	0.735048
SNP_327	0.385714	0.137102	0.735048
SNP_328	0.0	-100.0	0.5
SNP_329	0.076923	0.04	0.9333
SNP_330	0.318182	0.060291	0.600105
SNP_331	0.318182	0.060291	0.600105
SNP_332	0.318182	0.060291	0.600105
SNP_333	0.0	-100.0	0.5
SNP_334	0.0	-100.0	0.5
SNP_335	0.0	-100.0	0.5
SNP_336	0.166667	0.130435	0.704517
SNP_337	0.166667	0.130435	0.704517
SNP_338	0.303571	0.028701	0.493427
SNP_339	0.0	-100.0	0.5
SNP_340	0.045455	0.0	0.619311
SNP_341	0.1	0.052632	0.685235
SNP_342	0.09596	-0.052631	0.0
SNP_343	0.188889	-0.004644	0.298252
SNP_344	0.0	-100.0	0.5
SNP_345	0.045455	0.0	0.619311
SNP_346	0.620192	0.380775	0.945056
SNP_347	0.620192	0.380775	0.945056
SNP_348	0.035714	0.0	0.5
SNP_349	0.227273	-0.018633	0.262827
SNP_350	0.066667	0.034483	0.904011
SNP_351	0.066667	0.034483	0.904011
SNP_352	0.066667	0.034483	0.904011
SNP_353	0.066667	0.034483	0.904011
SNP_354	0.066667	0.034483	0.904011
SNP_355	0.0	-100.0	0.5
SNP_356	0.480769	0.055443	0.568975
SNP_357	0.166667	0.130435	0.704517
SNP_358	0.694444	0.543478	0.992487
SNP_359	0.694444	0.543478	0.992487
SNP_360	0.694444	0.543478	0.992487
SNP_361	0.694444	0.543478	0.992487
SNP_362	0.338462	-0.034483	0.047109
SNP_363	0.0	-100.0	0.5
SNP_364	0.076923	0.04	0.9333
SNP_365	0.076923	0.04	0.9333
SNP_366	0.076923	0.04	0.9333
SNP_367	0.615385	0.356085	0.932311
SNP_368	0.5	-0.01294	0.322876
SNP_369	0.310606	0.074383	0.632938
SNP_370	0.307692	0.084675	0.614406
SNP_371	0.0	-100.0	0.5
SNP_372	0.230769	0.2	0.923012
SNP_373	0.59375	0.386728	0.960265
SNP_374	0.59375	0.386728	0.960265
SNP_375	0.4	-0.032234	0.135565
SNP_376	0.4	-0.032234	0.135565
SNP_377	0.033333	0.0	0.5
SNP_378	0.055556	0.0	0.619311
SNP_379	0.083333	0.043478	0.65876
SNP_380	0.083333	0.043478	0.65876
SNP_381	0.0	-100.0	0.5
SNP_382	0.172727	-0.04973	0.0
SNP_383	0.15625	0.002899	0.370482
SNP_384	0.076923	-0.041667	0.145503
SNP_385	0.1	0.052632	0.685235
SNP_386	0.375	0.333333	0.958095
SNP_387	0.083333	0.043478	0.65876
SNP_388	0.083333	0.043478	0.65876
SNP_389	0.083333	0.043478	0.65876
SNP_390	0.348485	0.204159	0.931446
SNP_391	0.651515	0.460534	0.977292
SNP_392	0.651515	0.460534	0.977292
SNP_393	0.181818	-0.051354	0.0
SNP_394	0.11039	-0.034858	0.0
SNP_395	0.0	-100.0	0.5
SNP_396	0.0	-100.0	0.5
SNP_397	0.0	-100.0	0.5
SNP_398	0.125	-0.050265	0.0
SNP_399	0.532967	0.121237	0.676497
SNP_400	0.225275	-0.056585	0.0
SNP_401	0.142857	0.076923	0.590115
SNP_402	0.5	0.02588	0.529941
SNP_403	0.0	-100.0	0.5
SNP_404	0.133333	0.103448	1.0
SNP_405	0.0	-100.0	0.5
SNP_406	0.0	-100.0	0.5
SNP_407	0.542857	0.120268	0.674362
SNP_408	0.542857	0.120268	0.674362
SNP_409	0.076923	0.04	0.9333
SNP_410	0.598214	0.51686	1.0
SNP_411	0.535714	0.518519	0.992684
SNP_412	0.39645	-0.024478	0.220556
SNP_413	0.39645	-0.024478	0.220556
SNP_414	0.0	-100.0	0.5
SNP_415	0.333333	0.304348	0.953358
SNP_416	0.071429	0.0	0.619311
SNP_417	0.0	-100.0	0.5
SNP_418	0.342949	-0.040146	0.00449
SNP_419	0.0	-100.0	0.5
SNP_420	0.0	-100.0	0.5
SNP_421	0.0	-100.0	0.5
SNP_422	0.111111	0.058824	0.704721
SNP_423	0.0	-100.0	0.5
SNP_424	0.223077	0.085612	0.695297
SNP_425	0.292308	-0.029401	0.118915
SNP_426	0.066667	0.034483	0.904011
SNP_427	0.0	-100.0	0.5
SNP_428	0.363636	-0.010582	0.316943
SNP_429	0.305556	0.011821	0.441962
SNP_430	0.083333	0.043478	0.65876
SNP_431	0.076923	0.04	0.9333
SNP_432	0.090909	0.047619	0.670478
SNP_433	0.090909	0.047619	0.670478
SNP_434	0.589744	0.281319	0.876439
SNP_435	0.1	0.068966	0.741721
SNP_436	0.274359	0.056333	0.61351
SNP_437	0.402597	0.082437	0.682696
SNP_438	0.166667	-0.02313	0.255076
SNP_439	0.066667	0.034483	0.904011
SNP_440	0.5	0.10696	0.737775
SNP_441	0.071429	0.037037	0.918246
SNP_442	0.041667	0.0	0.619311
SNP_443	0.0	-100.0	0.5
SNP_444	0.076923	0.04	0.9333
SNP_445	0.152778	-0.043478	0.0
SNP_446	0.318182	0.285714	0.935881
SNP_447	0.0	-100.0	0.5
SNP_448	0.076923	0.04	0.9333
SNP_449	0.0	-100.0	0.5
SNP_450	0.521978	0.062503	0.550222
SNP_451	0.071429	0.037037	0.918246
SNP_452	0.0	-100.0	0.5
SNP_453	0.071429	-0.038462	0.185469
SNP_454	0.045455	0.0	0.619311
SNP_455	0.203846	-0.020655	0.199853
SNP_456	0.192308	-0.025558	0.159321
SNP_457	0.0	-100.0	0.5
SNP_458	0.0	-100.0	0.5
SNP_459	0.2	0.001238	0.326558
SNP_460	0.0	-100.0	0.5
SNP_461	0.0	-100.0	0.5
SNP_462	0.5	-0.027246	0.170268
SNP_463	0.111111	0.058824	0.704721
SNP_464	0.05	0.0	0.619311
SNP_465	0.0	-100.0	0.5
SNP_466	0.0	-100.0	0.5
SNP_467	0.0	-100.0	0.5
SNP_468	0.0	-100.0	0.5
SNP_469	0.333333	0.304348	0.953358
SNP_470	0.333333	0.304348	0.953358
SNP_471	0.333333	0.304348	0.953358
SNP_472	0.333333	0.304348	0.953358
SNP_473	0.0	-100.0	0.5
SNP_474	0.409091	0.380952	0.978557
SNP_475	0.363636	-0.010582	0.316943
SNP_476	0.416084	-0.037983	0.064379
SNP_477	0.416084	-0.037983	0.064379
SNP_478	0.045455	0.0	0.619311
SNP_479	0.189744	-0.019199	0.210637
SNP_480	0.189744	-0.019199	0.210637
SNP_481	0.066667	0.034483	0.904011
SNP_482	0.428571	-0.03489	0.092598
SNP_483	0.0	-100.0	0.5
SNP_484	0.0	-100.0	0.5
SNP_485	0.0	-100.0	0.5
SNP_486	0.133333	0.103448	1.0
SNP_487	0.433884	-0.047619	0.0
SNP_488	0.277778	0.046837	0.583191
SNP_489	0.277778	0.046837	0.583191
SNP_490	0.1	0.052632	0.685235
SNP_491	0.685185	0.521394	0.990669
SNP_492	0.076923	0.04	0.9333
SNP_493	0.071429	0.037037	0.918246
SNP_494	0.083333	0.043478	0.65876
SNP_495	0.1	0.052632	0.685235
SNP_496	0.55625	0.1575	0.737128
SNP_497	0.328671	-0.035866	0.018385
SNP_498	0.076923	0.04	0.9333
SNP_499	0.0	-100.0	0.5
SNP_500	0.090909	0.047619	0.670478
SNP_501	0.0	-100.0	0.5
SNP_502	0.0	-100.0	0.5
SNP_503	0.4	0.223696	0.88943
SNP_504	0.325	-0.020243	0.252006
SNP_505	0.22	-0.04067	0.0
SNP_506	0.277778	0.046837	0.583191
SNP_507	0.210744	0.044818	0.476367
SNP_508	0.512397	0.019969	0.508118
SNP_509	0.205357	-0.038857	0.0
SNP_510	0.197802	-0.03821	0.0
SNP_511	0.104396	-0.02729	0.341095
SNP_512	0.076923	0.04	0.9333
SNP_513	0.2	0.157895	0.790316
SNP_514	0.3	0.103389	0.648545
SNP_515	0.3	0.103389	0.648545
SNP_516	0.482143	0.059223	0.581536
SNP_517	0.482143	0.059223	0.581536
SNP_518	0.076923	0.04	0.9333
SNP_519	0.257576	-0.041651	0.025197
SNP_520	0.476923	-0.036707	0.104055
SNP_521	0.476923	-0.036707	0.104055
SNP_522	0.476923	-0.036707	0.104055
SNP_523	0.302198	-0.037912	0.0
SNP_524	0.166667	0.117647	0.607856
SNP_525	0.166667	0.117647	0.607856
SNP_526	0.166667	0.117647	0.607856
SNP_527	0.453846	-0.029438	0.031243
SNP_528	0.440476	0.24246	0.924175
SNP_529	0.383117	0.00973	0.424369
SNP_530	0.0	-100.0	0.5
SNP_531	0.333333	0.304348	0.953358
SNP_532	0.353147	-0.043753	0.0
SNP_533	0.0	-100.0	0.5
SNP_534	0.419643	0.054716	0.611716
SNP_535	0.419643	0.054716	0.611716
SNP_536	0.419643	0.054716	0.611716
SNP_537	0.076923	0.04	0.9333
SNP_538	0.05	0.0	0.619311
SNP_539	0.05	0.0	0.619311
SNP_540	0.384615	0.36	0.977506
SNP_541	0.0	-100.0	0.5
SNP_542	0.05	0.0	0.619311
SNP_543	0.0	-100.0	0.5
SNP_544	0.0	-100.0	0.5
SNP_545	0.1	0.052632	0.685235
SNP_546	0.1	0.052632	0.685235
SNP_547	0.45	0.421053	0.969334
SNP_548	0.5	0.470588	0.993685
SNP_549	0.240385	-0.037983	0.015878
SNP_550	0.240385	-0.037983	0.015878
SNP_551	0.240385	-0.037983	0.015878
SNP_552	0.3125	0.266667	0.916859
SNP_553	0.225275	-0.034905	0.063835
SNP_554	0.225275	-0.034905	0.063835
SNP_555	0.05	0.0	0.619311
SNP_556	0.041667	0.0	0.619311
SNP_557	0.084615	-0.045455	0.0
SNP_558	0.05	0.0	0.619311
SNP_559	0.469231	0.369324	0.996422
SNP_560	0.233333	-0.020133	0.2486
SNP_561	0.233333	-0.020133	0.2486
SNP_562	0.309091	-0.049093	0.0
SNP_563	0.107143	0.074074	0.764543
SNP_564	0.0	-100.0	0.5
SNP_565	0.0	-100.0	0.5
SNP_566	0.261364	-0.04265	0.014031
SNP_567	0.189744	-0.019199	0.210637
SNP_568	0.344444	-0.008077	0.333967
SNP_569	0.344444	-0.008077	0.333967
SNP_570	0.2	0.157895	0.790316
SNP_571	0.272727	-0.037037	0.082905
SNP_572	0.272727	-0.037037	0.082905
SNP_573	0.272727	-0.037037	0.082905
SNP_574	0.272727	-0.037037	0.082905
SNP_575	0.277778	0.000124	0.397571
SNP_576	0.277778	0.000124	0.397571
SNP_577	0.0	-100.0	0.5
SNP_578	0.0	-100.0	0.5
SNP_579	0.0	-100.0	0.5
SNP_580	0.469697	-0.023843	0.191354
SNP_581	0.180473	0.036721	0.439423
SNP_582	0.430556	-0.039271	0.043196
SNP_583	0.5	0.047101	0.599184
SNP_584	0.395833	-0.035851	0.091215
SNP_585	0.131818	-0.036125	0.151669
SNP_586	0.190476	0.05163	0.494071
SNP_587	0.083333	0.043478	0.65876
SNP_588	0.041667	0.0	0.619311
SNP_589	0.076923	0.04	0.9333
SNP_590	0.038462	0.0	0.5
SNP_591	0.041667	0.0	0.619311
SNP_592	0.307692	0.28	0.967577
SNP_593	0.0	-100.0	0.5
SNP_594	0.133333	0.103448	1.0
SNP_595	0.0	-100.0	0.5
SNP_596	0.2	0.025362	0.418987
SNP_597	0.122378	-0.021769	0.42244
SNP_598	0.122378	-0.021769	0.42244
SNP_599	0.15625	0.002899	0.370482
SNP_600	0.19697	0.033445	0.444212
SNP_601	0.122378	-0.021769	0.42244
SNP_602	0.318681	0.104163	0.693878
SNP_603	0.079861	-0.043478	0.123812
SNP_604	0.152778	-0.043478	0.0
SNP_605	0.0	-100.0	0.5
SNP_606	0.0	-100.0	0.5
SNP_607	0.0	-100.0	0.5
SNP_608	0.482143	0.023737	0.454509
SNP_609	0.066667	0.034483	0.904011
SNP_610	0.0	-100.0	0.5
SNP_611	0.0	-100.0	0.5
SNP_612	0.236264	0.025151	0.511507
SNP_613	0.236264	0.025151	0.511507
SNP_614	0.05	0.0	0.619311
SNP_615	0.0	-100.0	0.5
SNP_616	0.0	-100.0	0.5
SNP_617	0.0	-100.0	0.5
SNP_618	0.0	-100.0	0.5
SNP_619	0.071429	0.037037	0.918246
SNP_620	0.214286	0.185185	0.908117
SNP_621	0.071429	0.037037	0.918246
SNP_622	0.0	-100.0	0.5
SNP_623	0.0625	0.0	0.619311
SNP_624	0.205357	-0.038857	0.0
SNP_625	0.205357	-0.038857	0.0
SNP_626	0.205357	-0.038857	0.0
SNP_627	0.202381	-0.021313	0.194811
SNP_628	0.0	-100.0	0.5
SNP_629	0.111111	0.058824	0.704721
SNP_630	0.35119	0.010657	0.436296
SNP_631	0.35119	0.010657	0.436296
SNP_632	0.35119	0.010657	0.436296
SNP_633	0.111111	0.058824	0.704721
SNP_634	0.111111	0.058824	0.704721
SNP_635	0.111111	0.058824	0.704721
SNP_636	0.166667	0.130435	0.704517
SNP_637	0.0	-100.0	0.5
SNP_638	0.0	-100.0	0.5
SNP_639	0.071429	0.037037	0.918246
SNP_640	0.071429	0.037037	0.918246
SNP_641	0.071429	0.037037	0.918246
SNP_642	0.227778	-0.048327	0.0
SNP_643	0.227778	-0.048327	0.0
SNP_644	0.227778	-0.048327	0.0
SNP_645	0.227778	-0.048327	0.0
SNP_646	0.076923	0.04	0.9333
SNP_647	0.291667	0.26087	0.921807
SNP_648	0.376923	0.124168	0.713486
SNP_649	0.230769	0.004675	0.424207
SNP_650	0.0	-100.0	0.5
SNP_651	0.0	-100.0	0.5
SNP_652	0.321429	0.115316	0.714305
SNP_653	0.154321	-0.037647	0.135982
SNP_654	0.154321	-0.037647	0.135982
SNP_655	0.383333	0.275047	0.907032
SNP_656	0.383333	0.275047	0.907032
SNP_657	0.222222	0.176471	0.884974
SNP_658	0.4	-0.032234	0.135565
SNP_659	0.472527	-0.006305	0.303168
SNP_660	0.1	0.052632	0.685235
SNP_661	0.1	0.052632	0.685235
SNP_662	0.470414	-0.010566	0.277414
SNP_663	0.470414	-0.010566	0.277414
SNP_664	0.214286	0.185185	0.908117
SNP_665	0.339286	0.032359	0.518686
SNP_666	0.214286	0.185185	0.908117
SNP_667	0.348485	0.194373	0.914069
SNP_668	0.0	-100.0	0.5
SNP_669	0.276859	0.022743	0.499597
SNP_670	0.055556	0.0	0.619311
SNP_671	0.055556	0.0	0.619311
SNP_672	0.0	-100.0	0.5
SNP_673	0.193182	-0.052101	0.0
SNP_674	0.193182	-0.052101	0.0
SNP_675	0.102273	-0.055556	0.0
SNP_676	0.0	-100.0	0.5
SNP_677	0.133333	-0.036605	0.146971
SNP_678	0.357143	0.240923	0.98758
SNP_679	0.357143	0.240923	0.98758
SNP_680	0.272727	-0.054945	0.0
SNP_681	0.272727	-0.054945	0.0
SNP_682	0.272727	-0.054945	0.0
SNP_683	0.402597	-0.062035	0.0
SNP_684	0.272727	-0.054945	0.0
